Activation Function,Optimizer,Accuracy,Loss
relu,adam,0.9693999886512756,0.1049746572971344
relu,sgd,0.941100001335144,0.19941285252571106
relu,adadelta,0.6039000153541565,1.8045988082885742
relu,adagrad,0.9085000157356262,0.3540782332420349
relu,adamax,0.9692000150680542,0.10341600328683853
relu,nadam,0.9714000225067139,0.09646803140640259
relu,ftrl,0.11349999904632568,2.3018620014190674
relu,rmsprop,0.9763000011444092,0.09183534979820251
tanh,adam,0.9710999727249146,0.09496302157640457
tanh,sgd,0.9369999766349792,0.22640906274318695
tanh,adadelta,0.652999997138977,1.392277717590332
tanh,adagrad,0.9003000259399414,0.3886357545852661
tanh,adamax,0.9632999897003174,0.12209058552980423
tanh,nadam,0.9732999801635742,0.08986945450305939
tanh,ftrl,0.11349999904632568,2.3018572330474854
tanh,rmsprop,0.974399983882904,0.08225581049919128
sigmoid,adam,0.9708999991416931,0.09615064412355423
sigmoid,sgd,0.8303999900817871,0.6863631010055542
sigmoid,adadelta,0.15860000252723694,2.2584187984466553
sigmoid,adagrad,0.6330000162124634,2.0042362213134766
sigmoid,adamax,0.9406999945640564,0.19562682509422302
sigmoid,nadam,0.9710999727249146,0.0965806245803833
sigmoid,ftrl,0.11349999904632568,2.3010027408599854
sigmoid,rmsprop,0.9659000039100647,0.10984858125448227
softmax,adam,0.8996999859809875,0.40701887011528015
softmax,sgd,0.11349999904632568,2.3009815216064453
softmax,adadelta,0.10279999673366547,2.302432060241699
softmax,adagrad,0.11349999904632568,2.3017382621765137
softmax,adamax,0.843500018119812,0.6403186321258545
softmax,nadam,0.869700014591217,0.3872814476490021
softmax,ftrl,0.11349999904632568,2.301793336868286
softmax,rmsprop,0.21979999542236328,1.8109831809997559
elu,adam,0.9729999899864197,0.08953101187944412
elu,sgd,0.933899998664856,0.23115544021129608
elu,adadelta,0.6850000023841858,1.3966563940048218
elu,adagrad,0.904699981212616,0.3424648940563202
elu,adamax,0.9643999934196472,0.12010738253593445
elu,nadam,0.9735000133514404,0.09219948947429657
elu,ftrl,0.11349999904632568,2.301849126815796
elu,rmsprop,0.9722999930381775,0.09763989597558975
selu,adam,0.968999981880188,0.09664662927389145
selu,sgd,0.9336000084877014,0.22245898842811584
selu,adadelta,0.6944000124931335,1.1716290712356567
selu,adagrad,0.9101999998092651,0.3277641236782074
selu,adamax,0.9635000228881836,0.12660256028175354
selu,nadam,0.9695000052452087,0.10512179136276245
selu,ftrl,0.11349999904632568,2.301858901977539
selu,rmsprop,0.9713000059127808,0.10442554950714111
softplus,adam,0.9743000268936157,0.088101826608181
softplus,sgd,0.9187999963760376,0.2800320088863373
softplus,adadelta,0.4083000123500824,2.0547404289245605
softplus,adagrad,0.8804000020027161,0.46235987544059753
softplus,adamax,0.9531000256538391,0.16174882650375366
softplus,nadam,0.972599983215332,0.09339675307273865
softplus,ftrl,0.11349999904632568,2.3006038665771484
softplus,rmsprop,0.9731000065803528,0.09362737834453583
softsign,adam,0.9700999855995178,0.09201407432556152
softsign,sgd,0.925599992275238,0.2677948772907257
softsign,adadelta,0.6802999973297119,1.720975637435913
softsign,adagrad,0.8884999752044678,0.5260227918624878
softsign,adamax,0.9610000252723694,0.13517899811267853
softsign,nadam,0.9732999801635742,0.08302919566631317
softsign,ftrl,0.11349999904632568,2.3018712997436523
softsign,rmsprop,0.9718000292778015,0.09256472438573837
